"old_id","new_id"
"11007A","11002W"
"23023A","23106A"
"23023B","23106B"
"23023C","23106C"
"23024A","23106D"
"23024B","23106E"
"23024C","23106F"
"23024D","23106G"
"23032A","23106H"
"23032B","23106I"
"23032C","23106J"
"37007A","37022A"
"37015A","37022B"
"37015B","37022C"
"37015C","37022D"
"37015D","37022E"
"37018A","37021A"
"37018B","37021B"
"37012A","37021C"
"44034A","44087A"
"44034B","44087B"
"44034C","44087C"
"44034D","44087D"
"44073A","44087E"
"44040A","44088A"
"44040B","44088B"
"44043A","44088C"
"44043B","44088D"
"44043C","44088E"
"44043D","44088F"
"44043E","44088G"
"44043F","44088H"
"44048A","44086A"
"44048B","44086B"
"44012A","44086C"
"44012B","44086D"
"46003A","46003A"
"46003B","46003B"
"46003C","46003C"
"46003D","46003D"
"46003E","46003E"
"46003F","46003F"
"46003G","46003G"
"46003H","46003H"
"46013A","46030I"
"46013B","46030J"
"46013C","46030K"
"11056A","46030L"
"11056B","46030M"
"46014A","46029A"
"46014B","46029B"
"46014C","46029C"
"44045A","46029D"
"71022A","71022A"
"71022B","71022B"
"71022C","71022C"
"71022D","71022D"
"71022E","71022E"
"71022F","71022F"
"71022G","71022G"
"71022H","71022H"
"73040A","71022I"
"73040B","71072J"
"73040C","71072K"
"73040D","71072L"
"73040E","71072M"
"71069A","71071A"
"71069B","71071B"
"71057A","71071C"
"73006A","73110A"
"73006B","73110B"
"73006C","73110C"
"73006D","73110D"
"73006E","73110E"
"73006F","73110F"
"73006G","73110G"
"73006H","73110H"
"73006J","73110J"
"73006K","73110K"
"73006L","73110L"
"73006M","73110M"
"73006N","73110N"
"73032A","73110O"
"73032B","73110P"
"73032C","73110Q"
"73032D","73110R"
"73032E","73110S"
"73083A","73111A"
"73083B","73111B"
"73083C","73111C"
"73083D","73111D"
"73083E","73111E"
"73083F","73111F"
"73083G","73111G"
"73083H","73111H"
"73083J","73111J"
"73083K","73111K"
"73083L","73111L"
"73083M","73111M"
"73083N","73111N"
"73083P","73111P"
"73083R","73111R"
"73083S","73111S"
"73083T","73111T"
"73083U","73111U"
"73083V","73111V"
"73009A","73111W"
"73009B","73111X"
"73009C","73111Y"
"73009D","73111Z"
"73009E","73111I"
"73009F","73111O"
"73009G","73111Q"
"73009H","73111AA"
"73009J","73111AB"
"73009K","73111AC"
"73009L","73111AD"
"73009M","73111AE"
"73009N","73111AF"
