"provincie_id","gemeente_id","deelgemeente_id","deelgemeente_naam"
10000,11001,"11001A","Aartselaar"
10000,11002,"11002A","Antwerpen"
10000,11002,"11002B","Lillo"
10000,11002,"11002K","Berendrecht"
10000,11002,"11002L","Zandvliet"
10000,11002,"11002P","Ekeren"
10000,11002,"11002Q","Merksem"
10000,11002,"11002R","Deurne"
10000,11002,"11002S","Borgerhout"
10000,11002,"11002T","Berchem"
10000,11002,"11002U","Wilrijk"
10000,11002,"11002V","Hoboken"
10000,11004,"11004A","Boechout"
10000,11004,"11004B","Vremde"
10000,11005,"11005A","Boom"
10000,11007,"11007A","Borsbeek"
10000,11008,"11008A","Brasschaat"
10000,11009,"11009A","Brecht"
10000,11009,"11009B","Sint-Lenaarts"
10000,11009,"11009C","Sint-Job-in-'t Goor"
10000,11013,"11013A","Edegem"
10000,11016,"11016A","Essen"
10000,11018,"11018A","Hemiksem"
10000,11021,"11021A","Hove"
10000,11022,"11022A","Kalmthout"
10000,11023,"11023A","Kapellen"
10000,11024,"11024A","Kontich"
10000,11024,"11024B","Waarloos"
10000,11025,"11025A","Lint"
10000,11029,"11029A","Mortsel"
10000,11030,"11030A","Niel"
10000,11035,"11035A","Ranst"
10000,11035,"11035B","Oelegem"
10000,11035,"11035C","Broechem"
10000,11035,"11035D","Emblem"
10000,11037,"11037A","Rumst"
10000,11037,"11037B","Terhagen"
10000,11037,"11037C","Reet"
10000,11038,"11038A","Schelle"
10000,11039,"11039A","Schilde"
10000,11039,"11039B","'s Gravenwezel"
10000,11040,"11040A","Schoten"
10000,11044,"11044A","Stabroek"
10000,11044,"11044B","Hoevenen"
10000,11050,"11050A","Wijnegem"
10000,11052,"11052A","Wommelgem"
10000,11053,"11053A","Wuustwezel"
10000,11053,"11053B","Loenhout"
10000,11054,"11054A","Zandhoven"
10000,11054,"11054B","Pulderbos"
10000,11054,"11054C","Pulle"
10000,11054,"11054D","Viersel"
10000,11054,"11054E","Massenhoven"
10000,11055,"11055A","Zoersel"
10000,11055,"11055B","Halle"
10000,11056,"11056A","Zwijndrecht"
10000,11056,"11056B","Burcht"
10000,11057,"11057A","Westmalle"
10000,11057,"11057B","Oostmalle"
10000,12002,"12002A","Berlaar"
10000,12005,"12005A","Bonheiden"
10000,12005,"12005B","Rijmenam"
10000,12007,"12007A","Bornem"
10000,12007,"12007B","Hingene"
10000,12007,"12007C","Mariekerke"
10000,12007,"12007D","Weert"
10000,12009,"12009A","Duffel"
10000,12014,"12014A","Heist-op-den-Berg"
10000,12014,"12014B","Hallaar"
10000,12014,"12014C","Itegem"
10000,12014,"12014D","Wiekevorst"
10000,12014,"12014E","Booischot"
10000,12014,"12014F","Schriek"
10000,12021,"12021A","Lier"
10000,12021,"12021B","Koningshooikt"
10000,12025,"12025A","Mechelen"
10000,12025,"12025B","Hombeek"
10000,12025,"12025C","Leest"
10000,12025,"12025D","Heffen"
10000,12025,"12025E","Walem"
10000,12025,"12025F","Muizen"
10000,12026,"12026A","Nijlen"
10000,12026,"12026B","Bevel"
10000,12026,"12026C","Kessel"
10000,12029,"12029A","Putte"
10000,12029,"12029B","Beerzel"
10000,12041,"12041A","Puurs"
10000,12041,"12041B","Ruisbroek"
10000,12041,"12041C","Breendonk"
10000,12041,"12041D","Liezele"
10000,12041,"12041E","Sint-Amands"
10000,12041,"12041F","Oppuurs"
10000,12041,"12041G","Lippelo"
10000,12035,"12035A","Sint-Katelijne-Waver"
